news_id,user_name,screen_name,time_of_tweet,retweet_count,news_tweet,hashtags,hashtags_sensitive
1121471373866668032,Hollywood Reporter,THR,Thu Apr 25 17:49:46 +0000 2019,7,In #TheCastleOnSunset — currently being adapted into an @HBO series by @johnkrasinski and Aaron Sorkin — Hollywood historian Shawn Levy retraces comedian #JohnBelushi final days inside the Chateau Marmont https://t.co/BEtGC6uprt https://t.co/cJbZKJ1cc8 ,JohnBelushi,JohnBelushi
1121469357215760384,Hollywood Reporter,THR,Thu Apr 25 17:41:45 +0000 2019,44,The most heroic moment for #CaptainAmerica: ‘Captain America: The First Avenger.’ A scrawny #SteveRogers| still at boot camp| tossing himself onto a dead grenade to make sure no one would get hurt proves that he was always a hero to the core https://t.co/l0DnphIW0s https://t.co/sRNRtuhFnx ,CaptainAmerica,CaptainAmerica
1121469357215760384,Hollywood Reporter,THR,Thu Apr 25 17:41:45 +0000 2019,44,The most heroic moment for #CaptainAmerica: ‘Captain America: The First Avenger.’ A scrawny #SteveRogers| still at boot camp| tossing himself onto a dead grenade to make sure no one would get hurt proves that he was always a hero to the core https://t.co/l0DnphIW0s https://t.co/sRNRtuhFnx ,SteveRogers,SteveRogers
1121467659516817408,Hollywood Reporter,THR,Thu Apr 25 17:35:00 +0000 2019,6,Commencement speeches 2019: List of #Hollywood speakers https://t.co/QMOq8YOuwR https://t.co/2tlpH1Ri2M ,Hollywood,Hollywood
1121463163642187776,Hollywood Reporter,THR,Thu Apr 25 17:17:08 +0000 2019,70,The best appearance of #CaptainAmerica: ‘Captain America: The Winter Soldier.’ It is one of the grittiest #Marvel films – showing Cap's controversial war against corruption in SHIELD| all while fighting his own brainwashed best friend in the process https://t.co/l0DnphIW0s https://t.co/WUFNe6OGJD ,CaptainAmerica,CaptainAmerica
1121463163642187776,Hollywood Reporter,THR,Thu Apr 25 17:17:08 +0000 2019,70,The best appearance of #CaptainAmerica: ‘Captain America: The Winter Soldier.’ It is one of the grittiest #Marvel films – showing Cap's controversial war against corruption in SHIELD| all while fighting his own brainwashed best friend in the process https://t.co/l0DnphIW0s https://t.co/WUFNe6OGJD ,Marvel,Marvel
1121462637374652418,Hollywood Reporter,THR,Thu Apr 25 17:15:03 +0000 2019,7,15 key quotes from the #GameOfThrones' final season episode  A Knight of the Seven Kingdoms  https://t.co/L2NBJUEZNB https://t.co/w3qZE3MGsb ,GameOfThrones,GameOfThrones
1121461721409789952,Hollywood Reporter,THR,Thu Apr 25 17:11:24 +0000 2019,9,The #ParklandShooting victim's friends prepare for prom in #AfterParkland doc clip https://t.co/VFn4BqZbMv #Tribeca https://t.co/eg4Zu1O6ZU ,ParklandShooting,ParklandShooting
1121461721409789952,Hollywood Reporter,THR,Thu Apr 25 17:11:24 +0000 2019,9,The #ParklandShooting victim's friends prepare for prom in #AfterParkland doc clip https://t.co/VFn4BqZbMv #Tribeca https://t.co/eg4Zu1O6ZU ,AfterParkland,AfterParkland
1121461721409789952,Hollywood Reporter,THR,Thu Apr 25 17:11:24 +0000 2019,9,The #ParklandShooting victim's friends prepare for prom in #AfterParkland doc clip https://t.co/VFn4BqZbMv #Tribeca https://t.co/eg4Zu1O6ZU ,Tribeca,Tribeca
1121458706644971520,Hollywood Reporter,THR,Thu Apr 25 16:59:26 +0000 2019,8,Veteran actress Rosemary Harris| prolific playwright Terrence McNally and distinguished orchestrator and music director Harold Wheeler to be honored with 2019 Special #TonyAwards  for Lifetime Achievement in the Theatre https://t.co/NgaDDMyxPn https://t.co/rTqbbVvAxe ,TonyAwards,TonyAwards
1121458587744776199,Hollywood Reporter,THR,Thu Apr 25 16:58:57 +0000 2019,2,The #EpicGames store would  hastily retreat from exclusives  if competitor #Steam changes revenue split https://t.co/PKDNSbxaci https://t.co/NGIEMkWbqT ,EpicGames,EpicGames
1121458587744776199,Hollywood Reporter,THR,Thu Apr 25 16:58:57 +0000 2019,2,The #EpicGames store would  hastily retreat from exclusives  if competitor #Steam changes revenue split https://t.co/PKDNSbxaci https://t.co/NGIEMkWbqT ,Steam,Steam
1121457741489496065,Hollywood Reporter,THR,Thu Apr 25 16:55:35 +0000 2019,2,Abramorama nabs #SerengetiRules doc for North America https://t.co/b8g4Z2PjBI https://t.co/TXs8et8LP5 ,SerengetiRules,SerengetiRules
1121454082932318208,Hollywood Reporter,THR,Thu Apr 25 16:41:03 +0000 2019,5,The #NBA| #SacramentoKings launch investigation into sex assault allegation against #LukeWalton https://t.co/wwihoo7x0v https://t.co/APUKJ3TrgT ,NBA,NBA
1121454082932318208,Hollywood Reporter,THR,Thu Apr 25 16:41:03 +0000 2019,5,The #NBA| #SacramentoKings launch investigation into sex assault allegation against #LukeWalton https://t.co/wwihoo7x0v https://t.co/APUKJ3TrgT ,SacramentoKings,SacramentoKings
1121454082932318208,Hollywood Reporter,THR,Thu Apr 25 16:41:03 +0000 2019,5,The #NBA| #SacramentoKings launch investigation into sex assault allegation against #LukeWalton https://t.co/wwihoo7x0v https://t.co/APUKJ3TrgT ,LukeWalton,LukeWalton
1121451490835480577,Hollywood Reporter,THR,Thu Apr 25 16:30:45 +0000 2019,28,The first appearance of #CaptainAmerica: ‘Captain America: The First Avenger.’ Thanks to an experimental serum| Steve Rogers external form becomes as strong as his resolve – turning him into a walking| talking and shield-slinging symbol of patriotism https://t.co/l0DnphIW0s https://t.co/JW12WAGoaV ,CaptainAmerica,CaptainAmerica
1121448200978747395,Hollywood Reporter,THR,Thu Apr 25 16:17:41 +0000 2019,9,Ubisoft's #AssassinsCreedUnity downloaded 3M times following #NotreDame fire https://t.co/5KfegGKbD6 https://t.co/MB4QBdRZgF ,AssassinsCreedUnity,AssassinsCreedUnity
1121448200978747395,Hollywood Reporter,THR,Thu Apr 25 16:17:41 +0000 2019,9,Ubisoft's #AssassinsCreedUnity downloaded 3M times following #NotreDame fire https://t.co/5KfegGKbD6 https://t.co/MB4QBdRZgF ,NotreDame,NotreDame
1121447533128105985,Hollywood Reporter,THR,Thu Apr 25 16:15:02 +0000 2019,20,An Infinity Stones refresher course before #AvengersEndgame https://t.co/menDf6YtOi https://t.co/FjqkvLhyxH ,AvengersEndgame,AvengersEndgame
